"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
010400,CONDORCANQUI, 50 180, 50 827, 51 344, 51 787, 52 082
010401,NIEVA , 21 231, 21 071, 20 847, 20 569, 20 264
010402,EL CENEPA , 11 863, 12 213, 12 537, 12 854, 13 122
010403,RÍO SANTIAGO, 17 086, 17 543, 17 960, 18 364, 18 696
010500,LUYA, 48 110, 48 032, 47 827, 47 482, 47 081
010501,LAMUD, 2 379, 2 381, 2 375, 2 363, 2 345
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
010502,CAMPORREDONDO, 7 313, 7 422, 7 515, 7 584, 7 644
010503,COCABAMBA, 2 087, 2 068, 2 045, 2 015, 1 983
010504,COLCAMAR, 2 011, 1 975, 1 933, 1 887, 1 838
010505,CONILA, 1 950, 1 939, 1 923, 1 899, 1 875
010506,INGUILPATA,  517,  502,  486,  469,  451
010507,LONGUITA,  898,  892,  883,  873,  860
010508,LONYA CHICO,  891,  876,  858,  838,  817
010509,LUYA, 4 147, 4 139, 4 118, 4 086, 4 047
010510,LUYA VIEJO,  408,  407,  405,  401,  398
010511,MARÍA,  792,  785,  776,  764,  752
010512,OCALLI, 3 919, 3 939, 3 950, 3 953, 3 957
010513,OCUMAL, 3 744, 3 734, 3 712, 3 679, 3 641
010514,PISUQUIA, 5 160, 5 125, 5 075, 5 012, 4 940
010515,PROVIDENCIA, 1 406, 1 399, 1 389, 1 374, 1 356
010516,SAN CRISTÓBAL,  576,  563,  550,  535,  520
010517,SAN FRANCISCO DEL YESO,  745,  739,  732,  722,  711
010518,SAN JERÓNIMO,  668,  645,  621,  597,  571
010519,SAN JUAN DE LOPECANCHA,  453,  445,  434,  423,  411
010520,SANTA CATALINA, 2 078, 2 114, 2 145, 2 168, 2 189
010521,SANTO TOMÁS, 3 176, 3 127, 3 070, 3 004, 2 935
010522,TINGO, 1 355, 1 367, 1 375, 1 378, 1 381
010523,TRITA, 1 437, 1 449, 1 457, 1 458, 1 459
010600,RODRÍGUEZ DE MENDOZA, 32 513, 33 122, 33 651, 33 895, 34 099
010601,SAN NICOLÁS, 6 278, 6 399, 6 499, 6 551, 6 594
010602,CHIRIMOTO, 2 713, 2 799, 2 877, 2 914, 2 946
010603,COCHAMAL,  628,  633,  636,  638,  639
010604,HUAMBO, 2 772, 2 722, 2 664, 2 590, 2 515
010605,LIMABAMBA, 2 491, 2 465, 2 431, 2 385, 2 338
010606,LONGAR, 1 704, 1 691, 1 673, 1 647, 1 621
010607,MARISCAL BENAVIDES, 1 568, 1 566, 1 559, 1 539, 1 519
010608,MILPUC,  458,  439,  419,  411,  405
010609,OMIA, 9 603, 9 830, 10 028, 10 127, 10 206
010610,SANTA ROSA,  538,  534,  529,  527,  526
010611,TOTORA,  293,  290,  288,  289,  286
010612,VISTA ALEGRE, 3 467, 3 754, 4 048, 4 277, 4 504
010700,UTCUBAMBA, 118 094, 118 853, 119 294, 119 657, 119 879
010701,BAGUA GRANDE, 56 257, 57 076, 57 746, 58 380, 58 947
010702,CAJARURO , 24 996, 24 794, 24 525, 24 236, 23 916
010703,CUMBA, 8 852, 8 819, 8 760, 8 695, 8 620
010704,EL MILAGRO, 6 422, 6 471, 6 503, 6 531, 6 551
010705,JAMALCA, 7 303, 7 269, 7 215, 7 156, 7 087
010706,LONYA GRANDE, 11 034, 11 182, 11 300, 11 412, 11 509
010707,YAMÓN, 3 230, 3 242, 3 245, 3 247, 3 249
,,,,,,
020000,ÁNCASH,1 155 451,1 169 522,1 180 638,1 188 391,1 194 156
020100,HUARAZ, 178 027, 181 866, 185 276, 188 106, 190 612
020101,HUARAZ, 66 195, 67 418, 68 466, 69 249, 69 882
020102,COCHABAMBA, 1 745, 1 723, 1 698, 1 682, 1 669
020103,COLCABAMBA,  314,  293,  274,  262,  252
020104,HUANCHAY, 1 726, 1 689, 1 652, 1 627, 1 608
020105,INDEPENDENCIA, 82 563, 84 931, 87 112, 88 989, 90 711
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
020106,JANGAS, 5 056, 5 138, 5 206, 5 254, 5 292
020107,LA LIBERTAD, 1 132, 1 122, 1 110, 1 102, 1 095
020108,OLLEROS, 2 513, 2 514, 2 507, 2 503, 2 498
020109,PAMPAS, 1 040, 1 020,  998,  984,  973
020110,PARIACOTO, 5 078, 5 163, 5 235, 5 287, 5 328
020111,PIRA, 3 536, 3 518, 3 489, 3 472, 3 456
020112,TARICA, 7 129, 7 337, 7 529, 7 695, 7 848
020200,AIJA, 6 632, 6 541, 6 433, 6 305, 6 170
020201,AIJA, 2 158, 2 175, 2 182, 2 186, 2 184
020202,CORIS, 1 713, 1 683, 1 649, 1 594, 1 538
020203,HUACLLAN,  383,  371,  358,  342,  327
020204,LA MERCED, 1 627, 1 573, 1 517, 1 468, 1 418
020205,SUCCHA,  751,  739,  727,  715,  703
020300,ANTONIO RAYMONDI, 14 349, 14 168, 13 950, 13 690, 13 404
020301,LLAMELLIN, 3 468, 3 446, 3 413, 3 373, 3 325
020302,ACZO, 2 013, 1 988, 1 958, 1 914, 1 863
020303,CHACCHO, 1 421, 1 385, 1 346, 1 314, 1 283
020304,CHINGAS, 1 960, 1 956, 1 946, 1 898, 1 843
020305,MIRGAS, 4 279, 4 212, 4 135, 4 063, 3 986
020306,SAN JUAN DE RONTOY, 1 208, 1 181, 1 152, 1 128, 1 104
020400,ASUNCIÓN, 7 879, 7 805, 7 710, 7 591, 7 457
020401,CHACAS, 4 852, 4 825, 4 787, 4 731, 4 665
020402,ACOCHACA, 3 027, 2 980, 2 923, 2 860, 2 792
020500,BOLOGNESI, 24 877, 24 474, 24 012, 23 475, 22 902
020501,CHIQUIÁN, 4 092, 4 095, 4 087, 4 047, 3 990
020502,ABELARDO PARDO LEZAMETA,  249,  231,  215,  210,  203
020503,ANTONIO RAYMONDI, 1 046, 1 034, 1 020,  990,  958
020504,AQUIA, 2 188, 2 136, 2 079, 2 000, 1 925
020505,CAJACAY, 1 838, 1 856, 1 868, 1 888, 1 899
020506,CANIS,  318,  298,  279,  261,  246
020507,COLQUIOC, 2 452, 2 404, 2 348, 2 265, 2 183
020508,HUALLANCA, 6 727, 6 610, 6 473, 6 401, 6 304
020509,HUASTA, 1 474, 1 408, 1 341, 1 271, 1 210
020510,HUAYLLACAYAN, 1 352, 1 361, 1 365, 1 336, 1 298
020511,LA PRIMAVERA,  473,  458,  444,  421,  399
020512,MANGAS,  524,  520,  515,  501,  486
020513,PACLLÓN,  955,  915,  874,  830,  792
020514,SAN MIGUEL DE CORPANQUI,  511,  492,  471,  449,  429
020515,TICLLOS,  678,  656,  633,  605,  580
020600,CARHUAZ, 48 797, 49 466, 50 007, 50 386, 50 669
020601,CARHUAZ, 16 139, 16 428, 16 675, 16 804, 16 917
020602,ACOPAMPA, 2 734, 2 768, 2 794, 2 812, 2 820
020603,AMASHCA, 1 535, 1 529, 1 520, 1 507, 1 491
020604,ANTA, 2 553, 2 579, 2 598, 2 610, 2 613
020605,ATAQUERO, 1 593, 1 607, 1 617, 1 624, 1 628
020606,MARCARA, 10 378, 10 593, 10 782, 10 940, 11 067
020607,PARIAHUANCA, 1 457, 1 458, 1 455, 1 455, 1 454
020608,SAN MIGUEL DE ACO, 2 502, 2 505, 2 502, 2 502, 2 498
020609,SHILLA, 2 962, 2 943, 2 915, 2 901, 2 886
020610,TINCO, 3 687, 3 778, 3 861, 3 933, 3 995
020611,YUNGAR, 3 257, 3 278, 3 288, 3 298, 3 300
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
020700,CARLOS F. FITZCARRALD, 18 848, 18 697, 18 496, 18 231, 17 925
020701,SAN LUIS, 11 202, 11 158, 11 083, 10 975, 10 842
020702,SAN NICOLÁS, 3 322, 3 282, 3 233, 3 171, 3 101
020703,YAUYA, 4 324, 4 257, 4 180, 4 085, 3 982
020800,CASMA, 54 382, 55 877, 57 256, 58 472, 59 605
020801,CASMA, 38 133, 39 286, 40 363, 41 315, 42 209
020802,BUENA VISTA ALTA, 5 128, 5 276, 5 413, 5 533, 5 645
020803,COMANDANTE NOEL, 2 280, 2 313, 2 340, 2 360, 2 375
020804,YAUTAN, 8 841, 9 002, 9 140, 9 264, 9 376
020900,CORONGO, 8 034, 8 037, 8 017, 7 969, 7 906
020901,CORONGO, 1 789, 1 792, 1 790, 1 794, 1 795
020902,ACO,  401,  391,  380,  366,  352
020903,BAMBAS,  483,  483,  481,  474,  464
020904,CUSCA, 2 856, 2 874, 2 881, 2 892, 2 901
020905,LA PAMPA, 1 088, 1 084, 1 078, 1 062, 1 044
020906,YANAC,  676,  672,  666,  654,  638
020907,YUPÁN,  741,  741,  741,  727,  712
021000,HUARI, 62 909, 63 173, 63 264, 63 344, 63 382
021001,HUARI, 9 781, 9 806, 9 803, 9 796, 9 786
021002,ANRA, 1 467, 1 443, 1 414, 1 394, 1 371
021003,CAJAY, 2 711, 2 690, 2 661, 2 651, 2 637
021004,CHAVÍN DE HUÁNTAR, 8 548, 8 517, 8 462, 8 467, 8 464
021005,HUACACHI, 1 880, 1 862, 1 841, 1 836, 1 830
021006,HUACCHIS, 1 488, 1 446, 1 401, 1 366, 1 330
021007,HUACHIS, 3 611, 3 604, 3 589, 3 602, 3 614
021008,HUÁNTAR, 2 782, 2 768, 2 746, 2 743, 2 737
021009,MASIN, 1 439, 1 401, 1 360, 1 329, 1 297
021010,PAUCAS, 1 632, 1 601, 1 565, 1 539, 1 511
021011,PONTO, 2 829, 2 781, 2 725, 2 688, 2 647
021012,RAHUAPAMPA,  749,  751,  751,  759,  764
021013,RAPAYAN, 1 500, 1 483, 1 461, 1 449, 1 433
021014,SAN MARCOS, 18 446, 18 998, 19 498, 19 745, 19 991
021015,SAN PEDRO DE CHANA, 2 687, 2 695, 2 694, 2 711, 2 724
021016,UCO, 1 359, 1 327, 1 293, 1 269, 1 246
021100,HUARMEY, 32 049, 32 599, 33 066, 33 424, 33 718
021101,HUARMEY, 26 102, 26 644, 27 123, 27 494, 27 805
021102,COCHAPETI,  822,  820,  814,  806,  797
021103,CULEBRAS, 3 350, 3 382, 3 405, 3 418, 3 424
021104,HUAYÁN,  976,  971,  961,  955,  950
021105,MALVAS,  799,  782,  763,  751,  742
021200,HUAYLAS, 55 883, 56 295, 56 557, 56 738, 56 853
021201,CARAZ, 26 307, 26 663, 26 949, 27 141, 27 281
021202,HUALLANCA, 1 080, 1 096, 1 110, 1 121, 1 130
021203,HUATA, 1 421, 1 410, 1 394, 1 385, 1 377
021204,HUAYLAS, 1 722, 1 712, 1 697, 1 688, 1 682
021205,MATO, 1 982, 1 977, 1 967, 1 950, 1 928
021206,PAMPAROMAS, 8 552, 8 577, 8 577, 8 580, 8 578
021207,PUEBLO LIBRE, 6 951, 6 980, 6 990, 6 998, 7 001
021208,SANTA CRUZ, 4 612, 4 606, 4 588, 4 578, 4 568
021209,SANTO TORIBIO, 1 132, 1 113, 1 092, 1 079, 1 069
021210,YURACMARCA, 2 124, 2 161, 2 193, 2 218, 2 239
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
021300,MARISCAL LUZURIAGA, 21 935, 21 891, 21 787, 21 607, 21 386
021301,PISCOBAMBA, 3 184, 3 158, 3 122, 3 095, 3 063
021302,CASCA, 4 046, 4 036, 4 015, 3 960, 3 902
021303,ELEAZAR GUZMÁN BARRÓN, 1 402, 1 413, 1 421, 1 410, 1 394
021304,FIDEL OLIVAS ESCUDERO, 2 034, 2 016, 1 993, 1 942, 1 886
021305,LLAMA, 1 063, 1 040, 1 015,  989,  965
021306,LLUMPA, 6 255, 6 294, 6 315, 6 362, 6 395
021307,LUCMA, 2 910, 2 894, 2 870, 2 831, 2 787
021308,MUSGA, 1 041, 1 040, 1 036, 1 018,  994
021400,OCROS, 7 477, 7 359, 7 224, 7 066, 6 897
021401,OCROS, 1 287, 1 275, 1 259, 1 245, 1 227
021402,ACAS,  701,  689,  676,  640,  603
021403,CAJAMARQUILLA,  318,  307,  297,  286,  275
021404,CARHUAPAMPA,  489,  469,  447,  420,  395
021405,COCHAS, 1 535, 1 553, 1 566, 1 580, 1 586
021406,CONGAS, 1 309, 1 313, 1 313, 1 302, 1 287
021407,LLIPA,  285,  259,  233,  230,  225
021408,SAN CRISTÓBAL DE RAJÁN,  460,  449,  437,  411,  383
021409,SAN PEDRO,  643,  593,  544,  496,  458
021410,SANTIAGO DE CHILCAS,  450,  452,  452,  456,  458
021500,PALLASCA, 25 022, 24 729, 24 371, 23 936, 23 461
021501,CABANA, 2 619, 2 608, 2 588, 2 558, 2 522
021502,BOLOGNESI, 1 065, 1 043, 1 017,  989,  959
021503,CONCHUCOS, 7 879, 7 877, 7 850, 7 793, 7 720
021504,HUACASCHUQUE,  552,  543,  532,  520,  506
021505,HUANDOVAL, 1 090, 1 087, 1 082, 1 072, 1 059
021506,LACABAMBA,  537,  528,  517,  505,  494
021507,LLAPO,  633,  629,  624,  618,  607
021508,PALLASCA, 2 533, 2 529, 2 517, 2 497, 2 470
021509,PAMPAS, 4 105, 3 902, 3 697, 3 490, 3 287
021510,SANTA ROSA, 1 146, 1 148, 1 147, 1 140, 1 133
021511,TAUCA, 2 863, 2 835, 2 800, 2 754, 2 704
021600,POMABAMBA, 26 773, 26 760, 26 675, 26 498, 26 269
021601,POMABAMBA, 14 881, 14 928, 14 933, 14 886, 14 818
021602,HUAYLLÁN, 3 130, 3 094, 3 051, 2 997, 2 936
021603,PAROBAMBA, 6 421, 6 404, 6 369, 6 313, 6 239
021604,QUINUABAMBA, 2 341, 2 334, 2 322, 2 302, 2 276
021700,RECUAY, 18 174, 18 154, 18 085, 17 954, 17 787
021701,RECUAY, 4 614, 4 577, 4 527, 4 455, 4 374
021702,CATAC, 4 068, 4 070, 4 060, 4 030, 3 990
021703,COTAPARACO,  423,  409,  394,  379,  362
021704,HUAYLLAPAMPA,  648,  614,  580,  546,  511
021705,LLACLLÍN,  929,  893,  855,  816,  776
021706,MARCA, 1 758, 1 843, 1 924, 1 999, 2 071
021707,PAMPAS CHICO,  947,  901,  854,  808,  762
021708,PARARÍN, 1 639, 1 681, 1 716, 1 745, 1 768
021709,TAPACOCHA,  447,  440,  432,  423,  412
021710,TICAPAMPA, 2 701, 2 726, 2 743, 2 753, 2 761
021800,SANTA, 459 137, 467 182, 474 053, 479 362, 483 774
021801,CHIMBOTE, 215 834, 216 601, 216 776, 216 641, 216 277
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
021802,CÁCERES DEL PERÚ, 4 826, 4 828, 4 816, 4 782, 4 736
021803,COISHCO, 16 941, 17 236, 17 491, 17 626, 17 704
021804,MACATE, 3 346, 3 315, 3 275, 3 221, 3 159
021805,MORO, 8 449, 8 576, 8 683, 8 748, 8 791
021806,NEPEÑA, 14 601, 14 742, 14 846, 14 892, 14 908
021807,SAMANCO, 5 022, 5 129, 5 225, 5 297, 5 355
021808,SANTA, 21 748, 22 242, 22 689, 23 030, 23 318
021809,NUEVO CHIMBOTE, 168 370, 174 513, 180 252, 185 125, 189 526
021900,SIHUAS, 28 840, 28 774, 28 630, 28 389, 28 091
021901,SIHUAS, 5 652, 5 678, 5 687, 5 710, 5 726
021902,ACOBAMBA, 1 695, 1 673, 1 647, 1 612, 1 572
021903,ALFONSO UGARTE,  557,  535,  514,  490,  466
021904,CASHAPAMPA, 2 955, 2 954, 2 945, 2 918, 2 882
021905,CHINGALPO,  947,  933,  916,  894,  870
021906,HUAYLLABAMBA, 3 769, 3 740, 3 701, 3 639, 3 567
021907,QUICHES, 2 451, 2 428, 2 400, 2 358, 2 310
021908,RAGASH, 2 452, 2 432, 2 404, 2 363, 2 315
021909,SAN JUAN, 6 806, 6 870, 6 914, 6 941, 6 960
021910,SICSIBAMBA, 1 556, 1 531, 1 502, 1 464, 1 423
022000,YUNGAY, 55 427, 55 675, 55 769, 55 848, 55 888
022001,YUNGAY, 21 873, 22 118, 22 302, 22 485, 22 654
022002,CASCAPARA, 1 747, 1 725, 1 698, 1 672, 1 643
022003,MANCOS, 6 906, 6 904, 6 881, 6 854, 6 821
022004,MATACOTO, 1 511, 1 519, 1 522, 1 528, 1 536
022005,QUILLO, 12 926, 13 049, 13 137, 13 216, 13 284
022006,RANRAHIRCA, 2 932, 2 952, 2 964, 2 974, 2 981
022007,SHUPLUY, 1 955, 1 932, 1 904, 1 875, 1 845
022008,YANAMA, 5 577, 5 476, 5 361, 5 244, 5 124
,,,,,,
030000,APURÍMAC, 427 323, 429 587, 430 736, 430 609, 429 720
030100,ABANCAY, 116 371, 118 392, 120 116, 120 976, 121 501
030101,ABANCAY, 72 761, 74 800, 76 639, 77 767, 78 681
030102,CHACOCHE, 1 410, 1 425, 1 437, 1 448, 1 454
030103,CIRCA, 1 933, 1 887, 1 836, 1 819, 1 796
030104,CURAHUASI, 17 136, 17 127, 17 064, 17 120, 17 128
030105,HUANIPACA, 3 010, 2 896, 2 778, 2 667, 2 550
030106,LAMBRAMA, 3 092, 2 953, 2 813, 2 683, 2 547
030107,PICHIRHUA, 2 877, 2 777, 2 673, 2 576, 2 471
030108,SAN PEDRO DE CACHORA, 2 642, 2 568, 2 490, 2 415, 2 332
030109,TAMBURCO, 11 510, 11 959, 12 386, 12 481, 12 542
030200,ANDAHUAYLAS, 150 105, 150 634, 150 758, 151 329, 151 731
030201,ANDAHUAYLAS  , 44 284, 45 221, 46 035, 47 143, 48 053
030202,ANDARAPA, 5 730, 5 655, 5 565, 5 458, 5 368
030203,CHIARA, 1 236, 1 224, 1 209, 1 193, 1 180
030204,HUANCARAMA, 5 378, 5 229, 5 070, 4 834, 4 654
030205,HUANCARAY, 3 951, 3 904, 3 846, 3 780, 3 724
030206,HUAYANA,  786,  770,  751,  727,  708
030207,KISHUARA, 6 385, 6 234, 6 069, 5 833, 5 650
030208,PACOBAMBA, 3 562, 3 451, 3 334, 3 156, 3 022
030209,PACUCHA, 8 638, 8 514, 8 367, 8 185, 8 037
030210,PAMPACHIRI, 2 314, 2 293, 2 268, 2 267, 2 256
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
030211,POMACOCHA,  908,  901,  890,  880,  871
030212,SAN ANTONIO DE CACHI, 3 048, 3 028, 3 000, 2 978, 2 955
030213,SAN JERÓNIMO, 22 061, 22 184, 22 241, 22 469, 22 601
030214,SAN MIGUEL DE CHACCRAMPA, 1 690, 1 673, 1 650, 1 626, 1 605
030215,SANTA MARÍA DE CHICMO, 8 754, 8 674, 8 570, 8 466, 8 373
030216,TALAVERA, 19 465, 19 711, 19 901, 20 291, 20 572
030217,TUMAY HUARACA, 1 960, 1 939, 1 912, 1 883, 1 857
030218,TURPO, 3 810, 3 778, 3 736, 3 696, 3 660
030219,KAQUIABAMBA, 1 851, 1 802, 1 748, 1 669, 1 610
030220,JOSÉ MARÍA ARGUEDAS  , 4 294, 4 449, 4 596, 4 795, 4 975
030300,ANTABAMBA, 11 895, 11 854, 11 781, 11 622, 11 429
030301,ANTABAMBA, 2 922, 2 895, 2 860, 2 808, 2 747
030302,EL ORO,  584,  590,  595,  602,  607
030303,HUAQUIRCA, 1 955, 2 005, 2 049, 2 074, 2 094
030304,JUAN ESPINOZA MEDRANO, 1 783, 1 763, 1 738, 1 705, 1 664
030305,OROPESA, 2 404, 2 390, 2 369, 2 316, 2 259
030306,PACHACONAS, 1 099, 1 091, 1 079, 1 061, 1 040
030307,SABAINO, 1 148, 1 120, 1 091, 1 056, 1 018
030400,AYMARAES, 25 392, 25 012, 24 570, 23 954, 23 276
030401,CHALHUANCA, 5 122, 5 164, 5 191, 5 203, 5 208
030402,CAPAYA,  617,  606,  593,  575,  554
030403,CARAYBAMBA,  976,  949,  919,  882,  844
030404,CHAPIMARCA, 1 965, 1 939, 1 907, 1 864, 1 814
030405,COLCABAMBA,  727,  721,  712,  687,  661
030406,COTARUSE, 2 704, 2 598, 2 491, 2 380, 2 268
030407,HUAYLLO,  479,  466,  453,  443,  430
030408,JUSTO APU SAHUARAURA,  770,  747,  723,  701,  678
030409,LUCRE, 1 593, 1 552, 1 507, 1 443, 1 371
030410,POCOHUANCA, 1 065, 1 054, 1 041, 1 023, 1 002
030411,SAN JUAN DE CHACÑA,  795,  784,  770,  745,  719
030412,SAÑAYCA, 1 152, 1 137, 1 118, 1 093, 1 063
030413,SORAYA,  746,  742,  736,  710,  683
030414,TAPAIRIHUA, 1 946, 1 926, 1 901, 1 867, 1 828
030415,TINTAY, 2 380, 2 320, 2 255, 2 161, 2 063
030416,TORAYA, 1 334, 1 301, 1 266, 1 215, 1 158
030417,YANACA, 1 021, 1 006,  987,  962,  932
030500,COTABAMBAS, 53 758, 54 552, 55 208, 55 398, 55 526
030501,TAMBOBAMBA, 10 809, 10 816, 10 789, 10 713, 10 660
030502,COTABAMBAS, 4 112, 4 089, 4 052, 4 028, 4 001
030503,COYLLURQUI, 6 943, 6 860, 6 756, 6 691, 6 651
030504,HAQUIRA, 9 935, 9 840, 9 712, 9 511, 9 474
030505,MARA, 6 195, 6 171, 6 127, 6 091, 6 084
030506,CHALLHUAHUACHO, 15 764, 16 776, 17 772, 18 364, 18 656
030600,CHINCHEROS, 47 471, 47 070, 46 544, 46 041, 45 494
030601,CHINCHEROS, 5 549, 5 529, 5 495, 5 472, 5 443
030602,ANCO-HUALLO, 10 770, 10 749, 10 695, 10 540, 10 382
030603,COCHARCAS, 1 811, 1 772, 1 729, 1 718, 1 707
030604,HUACCANA  14/, 6 944, 6 836, 6 711, 5 489, 5 389
030605,OCOBAMBA, 7 193, 7 125, 7 036, 6 962, 6 877
030606,ONGOY     , 2 459, 2 408, 2 352, 2 320, 2 287
,,,,,,Continúa…
"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
030607,URANMARCA, 2 817, 2 794, 2 765, 2 743, 2 717
030608,RANRACANCHA, 4 247, 4 209, 4 158, 4 116, 4 068
030609,ROCCHACC   , 2 825, 2 810, 2 787, 2 770, 2 751
030610,EL PORVENIR   , 1 801, 1 788, 1 771, 1 758, 1 743
030611,LOS CHANKAS  , 1 055, 1 050, 1 045, 1 043, 1 040
030612,AHUAYRO  14/,Creado 2021,Creado 2021,Creado 2021, 1 110, 1 090
030700,GRAU, 22 331, 22 073, 21 759, 21 289, 20 763
030701,CHUQUIBAMBILLA, 5 318, 5 295, 5 255, 5 150, 5 036
030702,CURPAHUASI, 2 033, 2 003, 1 967, 1 918, 1 861
030703,GAMARRA, 2 882, 2 791, 2 696, 2 588, 2 476
030704,HUAYLLATI, 1 421, 1 385, 1 346, 1 298, 1 246
030705,MAMARA,  905,  900,  893,  879,  862
